,a,b,r
36827,0.33037296629011237,0.5395224021740157,0.5185569725386335
36828,0.33037296629011237,0.5932901250186202,0.5769469685510525
36829,0.33037296629011237,0.5724660224039742,0.556352914359577
36830,0.33037296629011237,0.5600045124989579,0.5443027470616023
36831,0.33037296629011237,0.5532170000115633,0.5372254704421716
36832,0.33037296629011237,0.5518293831224905,0.5359504011938726
36833,0.33037296629011237,0.5546718545959062,0.5385821556937257
36834,0.33037296629011237,0.5507117867047031,0.5344778922780632
36835,0.33037296629011237,0.5489040605279503,0.5344920967727292
36836,0.33037296629011237,0.5382893118588363,0.5236541277682093
36837,0.33037296629011237,0.5232464165266668,0.5082754871192084
36838,0.33037296629011237,0.5087418327559228,0.49355035492462485
36839,0.33037296629011237,0.49436369908330924,0.4787323044835472
36840,0.33037296629011237,0.47155947810338894,0.456530499281557
36841,0.33037296629011237,0.4417064782847231,0.4265559320732616
36842,0.33037296629011237,0.4145202338314429,0.3990153712714656
36843,0.33037296629011237,0.3949992826988853,0.37908641918015284
36844,0.33037296629011237,0.38927236674913746,0.3729977016343644
36845,0.33037296629011237,0.3214735288682823,0.3037830851840879
36846,0.33037296629011237,0.3440117604387751,0.3255471771734889
36847,0.33037296629011237,0.36780515147636816,0.34874784815154025
36848,0.33037296629011237,0.39661484387175583,0.37683349171703706
36849,0.33037296629011237,0.4228250703005556,0.40191488934150377
36850,0.33037296629011237,0.43454910178153816,0.4121331608230313
36851,0.33037296629011237,0.4465176447728755,0.42378143279197833
36852,0.33037296629011237,0.44840181593947914,0.4254056815662649
36853,0.33037296629011237,0.44404284662485627,0.4192305837510887
36854,0.33037296629011237,0.44265201608771165,0.4186094134484061
36855,0.33037296629011237,0.436823681877927,0.4116887019271759
36856,0.33037296629011237,0.4458228615888151,0.42062934095536286
36857,0.33037296629011237,0.46161864819798193,0.4364756055471074
36858,0.33037296629011237,0.49312551231248514,0.46834591282291016
36859,0.33037296629011237,0.4928289539995787,0.46766577278375887
36860,0.33037296629011237,0.4916364240424742,0.4675458365297611
